CourseId,Identifier,ContentType,Content
43,7,READING,https://www.jeremyjordan.me/autoencoders/
43,7,READING,https://www.analyticsvidhya.com/blog/2017/06/architecture-of-convolutional-neural-networks-simplified-demystified/
43,7,READING,https://concordiauniversity.on.worldcat.org/oclc/1179006054
43,8,READING,http://www.w3.org/TR/rdf11-primer/
43,9,READING,http://www.w3.org/TR/rdf11-primer/
43,1,OTHER,http://www.csee.umbc.edu/courses/331/papers/eliza.html
43,1,OTHER,https://www.youtube.com/watch?embed=no&v=bo4RvYJYOzI
43,1,OTHER,https://www.youtube.com/watch?embed=no&v=P18EdAKuC1U
43,1,OTHER,https://www.youtube.com/watch?embed=no&v=a65uwr_O7mM
43,1,OTHER,https://www.youtube.com/watch?embed=no&v=ppkg4mQIgXw
43,2,OTHER,https://www.youtube.com/watch?embed=no&v=n1Cm1XiGd48&list=PLkexKfakohIhcTFehBN7FqlbOmKeLu2l3&index=3
43,2,OTHER,https://www.youtube.com/watch?embed=no&v=kAsVvS02T_U
43,3,OTHER,https://www.youtube.com/watch?embed=no&v=l-hh51ncgDI
43,4,OTHER,https://www.youtube.com/watch?embed=no&v=O2L2Uv9pdDA
43,5,OTHER,https://www.youtube.com/watch?embed=no&v=IPkRVpXtbdY
43,5,OTHER,https://www.youtube.com/watch?embed=no&v=9r7FIXEAGvs
43,5,OTHER,https://www.youtube.com/watch?embed=no&v=4b5d3muPQmA
43,6,OTHER,https://www.youtube.com/watch?embed=no&v=gakJlr3GecE
43,6,OTHER,https://en.wikipedia.org/wiki/NETtalk_(artificial_neural_network)
43,7,OTHER,https://transcranial.github.io/keras-js/#/mnist-cnn
43,8,OTHER,http://www.w3.org/People/Ivan/CorePresentations/RDFTutorial/
43,8,OTHER,https://concordiauniversity.on.worldcat.org/oclc/897466408
43,9,OTHER,https://concordiauniversity.on.worldcat.org/oclc/704257552
43,9,OTHER,http://www.w3.org/People/Ivan/CorePresentations/RDFTutorial/
43,9,OTHER,https://concordiauniversity.on.worldcat.org/oclc/871683907
43,9,OTHER,https://www.youtube.com/watch?embed=no&v=D-bTGefJj0A
43,9,OTHER,https://concordiauniversity.on.worldcat.org/oclc/897466408
